Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Tucumán,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1400000,1000000,Cobro parte del salario en dólares,,Un sueldo,Performance individual,Tres,47,Mayo,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Technical Leader,5,3,2,5,"Azure, Docker, Kubernetes, OpenShift, SAP",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Bootstrap, Node.js, React.js, SAP","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB","Cypress, Jest, Postman, SoapUI",De 501 a 1000 personas,100% remoto,0,Ajuste por inflación,No,8,5,,,,,,,,37,Masculini
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3066000,2200000,,,De uno a tres sueldos,Performance grupal,Dos,15,Abril,2,Horarios flexibles,2,"No, pero escucho ofertas.",Developer,20,5,15,1,"Docker, Kubernetes, Linux","Java, Kotlin, Python, SQL",Ninguno de los anteriores,"ElasticSearch, MongoDB, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Si,No,6,1,Terciario,Completo,Tecnicatura en Sistemas,,,,,44,Masculino
Entre Ríos,Full-Time,Staff (planta permanente),1836000,1524000,,,No,No recibo bono,Dos,70,Abril,3,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",3,"No, pero escucho ofertas.",Technical Leader,4,3,1,4,"Docker, Firebase, Linux","CSS, HTML, Javascript, SQL, TypeScript","Angular, Cordova, Node.js, React.js, Express, nestjs, material ui","ElasticSearch, MongoDB, Neo4j, PostgreSQL, Redis","Jest, JUnit, Postman",De 51 a 100 personas,100% remoto,0,4 ajustes por inflación por año (pero ajustan lo que les sale del corazón),No sé,6,2,,,,,,,,27,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2744368,2254609,,,Menos de un sueldo,Mix de las anteriores,Tres,66,Marzo,4,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,6,2,1,0,"Amazon Web Services, Kubernetes, OpenShift","Java, Javascript, SQL",Spring,"Amazon RDS/Aurora, Microsoft SQL Server, Oracle","JUnit, Selenium, SoapUI",De 1001 a 2000 personas,Híbrido (presencial y remoto),1,,No sé,10,3,,,,,,,,27,Masculino
Córdoba,Full-Time,Staff (planta permanente),1550000,1350000,Cobro todo el salario en dólares,895,No,No recibo bono,No,0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Descuentos varios (Clarín 365, Club La Nación, etc), Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",DevOps Engineer,2,2,1,0,"Amazon Web Services, Docker, Kubernetes, Serverless",Python,Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,,No,8,5,,,,,,,,31,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1650000,1325000,,,Un sueldo,Mix de las anteriores,Dos,78,Marzo,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Staff travel (aerolínea), descuentos en hoteles, flexibilidad de lugar y horarios en los que quieras trabajar",4,"No, estoy muy conforme.",DevOps Engineer,9,5,2,0,"Amazon Web Services, Docker, Google Cloud Platform, Linux, OpenShift, Serverless, Windows Server","CSS, HTML, Javascript, Python, SQL, TypeScript","Angular, Bootstrap, Node.js, React.js","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Microsoft SQL Server, MySQL",NS/NC,De 1001 a 2000 personas,100% remoto,0,Si. Trimestrales más algún ajuste por rendimiento etc.,No,10,1,Terciario,En curso,Analista de Sistemas,ORT,No,0,Porcentaje de mi sueldo bruto,27,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000,1200000,,,Un sueldo,Mix de las anteriores,Dos,40,Abril,3,"Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",4,"No, estoy muy conforme.",Developer,0,0,0,0,Ninguna de las anteriores,"Go, Java, Javascript","React.js, Spring","MongoDB, MySQL","Jest, JUnit, Selenium",Más de 10000 personas,Híbrido (presencial y remoto),2,,No,8,3,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,"Sí, activa",0,Porcentaje de mi sueldo bruto,22,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,2157000,,,Un sueldo,Mix de las anteriores,Dos,18,Febrero,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Cuota para universidad / posgrados, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,19,3,3,0,"Amazon Web Services, Azure, Linux","Java, Javascript","Angular, Spring",Oracle,SoapUI,De 101 a 200 personas,100% remoto,0,Aumentos por devaluacion del dolar oficial,Sí,7,0,Universitario,Completo,Licenciatura en Análisis de Sistemas,UBA - Universidad de Buenos Aires,"Sí, pasiva",50,Bruto,44,Masculino
Entre Ríos,Part-Time,Freelance,250000,250000,,,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,3,"Sí, estoy buscando activamente.",Developer,1,1,1,0,Ninguna de las anteriores,Javascript,"Bootstrap, React.js, Vue.js",Ninguna de las anteriores,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,,No sé,10,5,Universitario,Incompleto,Ingeniería Electrónica,UTN - Universidad Tecnológica Nacional,,,,32,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000,2000000,Cobro parte del salario en dólares,524,Un sueldo,Bono de permanencia,No,0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,9,4,4,0,"Amazon Web Services, Docker, Linux, Serverless","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Bootstrap, Hibernate, jQuery, Node.js, React.js, Spring, UmiJS","MariaDB, MySQL","JUnit, Postman",De 2001a 5000 personas,100% remoto,0,,Sí,8,5,,,,,,,,35,Masculino
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1920537.78,1670363.05,,,No,No recibo bono,Dos,37,Abril,4,Horarios flexibles,4,"No, estoy muy conforme.",Scrum Master,20,3,3,4,Google Cloud Platform,"Javascript, Python, SQL",Ninguno de los anteriores,"IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,Segun UTEDYC,No,7,3,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,45,Masculino
Tucumán,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1060000,900000,,,No,No recibo bono,Dos,80,Mayo,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",2,"No, pero escucho ofertas.",Developer,3,1.5,3,0,"Azure, Docker, Kubernetes",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, Blazor","ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","NUnit, Postman, Xunit",De 11  a 50  personas,100% remoto,0,"Si mi empresa hace un ""ajuste salarial por inflacion"" cada 3 meses pero la realidad es que no acompaña la inflacion siempre el porcentaje es menor",No,8,3,Universitario,Completo,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,26,Masculino
Tucumán,Full-Time,Contractor,1200000,1200000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs",4,"No, estoy muy conforme.",Technical Leader,2,2,2,3,"Amazon Web Services, Serverless",TypeScript,"Next.js, Node.js, React.js","Amazon DynamoDB, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,No,10,3,,,,,,,,22,Masculino
Córdoba,Full-Time,Staff (planta permanente),1838000,1525000,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,50,Mayo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Stock options / RSUs, Viáticos",3,"No, estoy muy conforme.",SysAdmin,5,2,1,3,"Azure, Docker, Linux, VMWare","Bash/Shell, Python",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),4,Se ajusta mensualmente de acuerdo al IPC del mes anterior,No,8,0,Universitario,Incompleto,Ingeniería en Telecomunicaciones,UNRC - Universidad Nacional de Río Cuarto,"Sí, pasiva",0,Neto,33,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),652456,548262,,,Menos de un sueldo,Mix de las anteriores,Dos,20,Abril,2,Descuento en gimnasios / Clases de gimnasia online,2,"No, pero escucho ofertas.",Developer,2.5,2.5,1,0,Windows Server,".NET, SQL",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),4,,No,6,4,,,,,,,,28,Masculino
Córdoba,Full-Time,Staff (planta permanente),759111,1113939,,,Un sueldo,Performance de la compañía,Más de tres,30,Marzo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Bonos de combustible",3,"No, pero escucho ofertas.",SysAdmin,2,1.5,1.5,0,"Azure, Linux, Windows Server, Proxmox, pfSense","CSS, HTML, Javascript, Python, SQL","Bootstrap, Django, jQuery","MariaDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),5,+%IPC x mes.,No,9,5,,,,,,,,36,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,100000000,83000000,,,No,No recibo bono,Dos,100,Marzo,3,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Developer,2,2,2,0,Ninguna de las anteriores,SQL,"HTMX, React.js, WordPress",Oracle,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),2,"Si, el primero fue supuestamente por mi desempeño, venía cobrando 330000 neto y pase a 630000",Sí,7,0,,,,,,,,26,Masculino
Provincia de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),865000,740000,Mi sueldo está dolarizado (pero cobro en moneda local),865,No,No recibo bono,Dos,72,Marzo,3,"Abono de Internet, Comidas pagas / subvencionadas",2,"No, pero escucho ofertas.",Analista soporte de aplicación,12,1,1,0,Linux,"Java, SQL",Ninguno de los anteriores,Oracle,Postman,De 11  a 50  personas,Híbrido (presencial y remoto),3,"Si, ajuste por inflación indec",No,2,3,,,,,,,,36,Masculino
Tucumán,Full-Time,Staff (planta permanente),937000,777000,,,No,No recibo bono,Dos,24,Marzo,3,Horarios flexibles,1,"Sí, estoy buscando activamente.",Data Engineer,3,2,1,0,"Amazon Web Services, Docker, Google Cloud Platform, Linux","Bash/Shell, Java, Javascript, Python, SQL","Spark, Airflow","Amazon DynamoDB, Amazon Redshift, Google Cloud Storage, IBM Db2, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,No sé,4,3,Terciario,Completo,Tecnicatura Superior en Programación,,,,,27,Masculino
Neuquén,Full-Time,Staff (planta permanente),1900000,1664000,,,De uno a tres sueldos,Mix de las anteriores,Tres,30,Abril,2,"Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc)",2,"No, pero escucho ofertas.",HelpDesk,20,2,2,0,Windows Server,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,"Sí, mensuales o bimestrales",No sé,8,0,Universitario,En curso,Tecnicatura en Sistemas,UNCOMA - Universidad Nacional del Comahu,"Sí, activa",25000,Neto,39,Masculino
Córdoba,Full-Time,Contractor,690000,650000,,,No,No recibo bono,Tres,25,Marzo,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",DevOps Engineer,1,1,1,0,"Docker, Kubernetes, Linux","Bash/Shell, Python",Ninguno de los anteriores,"MariaDB, MongoDB, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),1,,No,7,2,Universitario,En curso,Ingeniería en Computación,UNC - Universidad Nacional de Córdoba,No,0,Bruto,24,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1667000,1360000,,,No,No recibo bono,Dos,40,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",2,"No, pero escucho ofertas.",Developer,0,2,0,0,Windows Server,".NET, C++, C#, CSS, HTML, Java, Javascript, Python, SQL",.NET Core,MySQL,Selenium,De 201 a 500 personas,100% remoto,0,Por inflación,Sí,3,4,,,,,,,,25,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1200000,996000,,,Menos de un sueldo,Performance individual,Uno,57,Mayo,3,Capacitaciones y/o cursos,3,"No, pero escucho ofertas.",Analyst Programmer & Proyect Manager,3,2,1,3,"Amazon Web Services, Docker, Windows Server","CSS, HTML, Java, Javascript, Perl, PHP, Python, SQL","Bootstrap, jQuery, Laravel, Node.js, React.js, Symfony","MariaDB, Microsoft SQL Server, Oracle, PostgreSQL","PHPUnit, Postman",De 201 a 500 personas,100% presencial,0,"Si, en el mes de Mayo",No,7,3,,,,,,,,24,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1060000,,,,No,No recibo bono,Dos,47,Abril,2,"Abono de celular, Descuento en cuota en ciertas Universidades",2,"No, pero escucho ofertas.",Infosec,15,2,1.5,2,"Docker, Linux, VMWare, Windows Server","Bash/Shell, Python, SQL, VBA","Laravel, Node.js, WordPress","ElasticSearch, MariaDB, Microsoft SQL Server, MySQL, Oracle","Postman, Selenium, SoapUI",De 2001a 5000 personas,Híbrido (presencial y remoto),3,,Sí,7,3,Universitario,Completo,Ingeniería Electrónica,,No,0,Porcentaje de mi sueldo bruto,41,Masculino
Tucumán,Full-Time,Staff (planta permanente),760000,620000,,,No,No recibo bono,Dos,38,Febrero,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",1,"No, estoy muy conforme.",Developer,30,2,2,0,Ninguna de las anteriores,VBA,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Si,No sé,10,0,,,,,,,,48,Masculino
Córdoba,Full-Time,Staff (planta permanente),750000,750000,,,No,No recibo bono,Tres,75,Mayo,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",BI Analyst / Data Analyst,0,0,0,0,Qlik,SQL,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Inflación,No sé,0,3,,,,,,,,33,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1080000,980000,,,No,No recibo bono,Uno,33,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,3,0,3,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Linux, OpenShift, SAP","HTML, Javascript, SQL, Swift, TypeScript","Cordova, Node.js, React.js, Ionic",PostgreSQL,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,"Tengo cada 3 meses revisión salarial por inflación, pero sigue bajo",No,8,5,,,,,,,,28,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1105400,840000,,,No,No recibo bono,Dos,25,Abril,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",SysAdmin,20,9,9,0,"Linux, Windows Server",Ninguno de los anteriores,WordPress,MySQL,Ninguna de las anteriores,De 11  a 50  personas,100% presencial,0,"si, agremiados en utedyc (sin opcion de cambio)",No,0,0,,,,,,,,47,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1270000,1060000,,,De uno a tres sueldos,Mix de las anteriores,Dos,56,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Licencia por nacimiento extendida",4,"No, estoy muy conforme.",QA / Tester,2,3,2,0,Ninguna de las anteriores,"Javascript, SQL",Ninguno de los anteriores,MySQL,"Cucumber, Postman, Playwrite",De 201 a 500 personas,100% remoto,0,En Noviembre y Diciembre se otorgo un aumento retroactivo,No,10,3,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,,,,25,Masculino
Chaco,Full-Time,Staff (planta permanente),1750000,1452500,,,No,No recibo bono,Uno,75,Abril,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",2,"No, pero escucho ofertas.",Developer,3,1,3,0,Ninguna de las anteriores,Javascript,React Native,MongoDB,Jest,De 201 a 500 personas,100% remoto,0,,No sé,9,5,Universitario,En curso,Ingeniería en Sistemas de Información,,No,0,Porcentaje de mi sueldo bruto,31,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,300000,280000,,,No,No recibo bono,Uno,30,Marzo,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",BI Analyst / Data Analyst,1,0,0,0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,no,Sí,4,2,Terciario,Completo,terciaro en educacion inicial,,,,,28,femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,1900000,Mi sueldo está dolarizado (pero cobro en moneda local),,De uno a tres sueldos,Mix de las anteriores,Uno,20,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,4,1,1,0,"Amazon Web Services, Docker, Kubernetes, Serverless","Java, Javascript, Kotlin, TypeScript","Node.js, Spring, Fastify","Amazon DynamoDB, Amazon RDS/Aurora","Jest, JUnit, Postman",De 2001a 5000 personas,100% remoto,0,Si,No sé,8,5,Universitario,Incompleto,Tecnicatura en Informática,UNQ - Universidad Nacional de Quilmes,No,0,Neto,25,Masculino
Córdoba,Full-Time,Contractor,450000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,0,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP","WordPress, Liquid",MySQL,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,,No,0,2,Secundario,Completo,,,No,0,Porcentaje de mi sueldo bruto,27,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,700000,581000,,,No,No recibo bono,Dos,60,Abril,2,"Descuento en gimnasios / Clases de gimnasia online, Cuota para universidad / posgrados",3,"Sí, estoy buscando activamente.",SysAdmin,1,1,1,0,"Docker, Linux, VMWare",Python,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),3,no,No sé,7,1,,,,,,,,24,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),500,466000,,,No,No recibo bono,Uno,40,Marzo,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Developer,2,0,2,0,Ninguna de las anteriores,"Javascript, PHP","jQuery, Laravel, Vue.js","ElasticSearch, MariaDB",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,"Si, aumento trimestral segun indice de inflación INDEC",No sé,5,1,Terciario,En curso,Analista de Sistemas,ORT,No,0,Bruto,20,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1252560,1043875,,,No,No recibo bono,Uno,40,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",2,"Sí, estoy buscando activamente.",Developer,3,1,0,1,"Amazon Web Services, Docker, Google Cloud Platform","CSS, HTML, Java, Javascript, TypeScript",React.js,PostgreSQL,Jest,De 201 a 500 personas,100% remoto,0,por ipc,No sé,8,2,,,,,,,,30,masculino
